voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
-2207.086122,-22775.20941,24982.29553,-181.2742242,-137.1080094,318.3822337,1
-1166.293744,-23350.67983,24516.97357,-171.2337572,-147.8833334,319.1170905,1
-123.8439992,-23892.96765,24016.81165,-160.9499575,-158.448507,319.3984646,1
918.7817348,-24401.30226,23482.52053,-150.4374392,-168.7885166,319.2259559,1
1960.10183,-24874.96129,22914.85946,-139.7111411,-178.8886686,318.5998096,1
2998.636513,-25313.27164,22314.63512,-128.7863057,-188.7346099,317.5209156,1
4032.909969,-25715.61044,21682.70047,-117.678458,-198.312349,315.990807,1
5061.45244,-26081.40595,21019.95351,-106.4033828,-207.6082754,314.0116582,1
6082.80231,-26410.13835,20327.33604,-94.97710249,-216.6091791,311.5862816,1
7095.508185,-26701.34051,19605.83232,-83.41585456,-225.3022693,308.7181239,1
8098.130954,-26954.5986,18856.46764,-71.73606813,-233.6751927,305.4112608,1
9089.245836,-27169.55273,18080.30689,-59.95434082,-241.7160508,301.6703916,1
10067.4444,-27345.89743,17278.45303,-48.08741512,-249.4134172,297.5008323,1
11031.33658,-27483.38213,16452.04555,-36.15215456,-256.7563534,292.908508,1
11979.55262,-27581.81143,15602.2588,-24.16551982,-263.7344249,287.8999447,1
12910.74507,-27641.04547,14730.3004,-12.14454455,-270.3377153,282.4822598,1
13823.59064,-27661.00007,13837.40943,-0.106311217,-276.556841,276.6631522,1
14716.79213,-27641.64687,12924.85474,11.93207319,-282.3829643,270.4508911,1
15589.08025,-27583.01338,11993.93313,23.95350147,-287.8078059,263.8543045,1
16439.21544,-27485.18293,11045.96749,35.94089051,-292.8236569,256.8827664,1
17265.9896,-27348.29452,10082.30492,47.87720558,-297.4233895,249.5461839,1
18068.22785,-27172.54269,9104.314838,59.74548452,-301.6004672,241.8549827,1
18844.79016,-26958.17719,8113.387031,71.52886185,-305.3489541,233.8200922,1
19594.57299,-26705.50264,7110.929657,83.21059276,-308.6635234,225.4529306,1
20316.51085,-26414.87812,6098.367263,94.77407687,-311.539465,216.7653881,1
21009.57785,-26086.7166,5077.138756,106.2028818,-313.9726919,207.7698101,1
