voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
5560.424867,-30413.84717,24853.4223,-64.32422119,-119.9198583,184.2440795,1
6759.113975,-30812.06136,24052.94738,-57.65977684,-125.2436068,182.9033836,1
7948.198012,-31166.48992,23218.29191,-50.91339478,-130.3893773,181.3027721,1
9125.987224,-31476.62919,22350.64197,-44.09466201,-135.3498574,179.4445194,1
10290.80791,-31742.03845,21451.23054,-37.2132683,-140.1179979,177.3312662,1
11441.00479,-31962.34054,20521.33575,-30.27899251,-144.6870231,174.9660156,1
12574.94338,-32137.22239,19562.27901,-23.30168861,-149.0504401,172.3521287,1
13691.01229,-32266.4355,18575.4232,-16.29127174,-153.2020483,169.49332,1
14787.62552,-32349.79623,17562.17071,-9.257704079,-157.1359479,166.393652,1
15863.22473,-32387.18613,16523.9614,-2.210980714,-160.8465488,163.0575296,1
16916.28142,-32378.55206,15462.27064,4.838884576,-164.328578,159.4896934,1
17945.29915,-32323.90631,14378.60715,11.88187355,-167.5770872,155.6952137,1
18948.81564,-32223.32651,13274.51088,18.90797772,-170.5874603,151.6794826,1
19925.40481,-32076.9556,12151.55079,25.90721263,-173.3554192,147.4482066,1
20873.6789,-31885.00159,11011.32269,32.86963197,-175.8770306,143.0073986,1
21792.29035,-31647.73724,9855.446894,39.78534177,-178.1487111,138.3633693,1
22679.93376,-31365.49973,8685.56597,46.64451441,-180.1672325,133.5227181,1
23535.34774,-31038.69012,7503.342381,53.43740265,-181.9297265,128.4923238,1
24357.3167,-30667.77284,6310.456133,60.15435342,-183.4336883,123.2793349,1
25144.67259,-30253.27497,5108.60238,66.78582156,-184.6769808,117.8911593,1
25896.29652,-29795.78555,3899.489025,73.32238339,-185.6578373,112.3354539,1
26611.1204,-29295.95468,2684.834282,79.7547501,-186.3748638,106.6201137,1
27288.12841,-28754.49266,1466.364242,86.07378095,-186.8270414,100.7532604,1
27926.35851,-28172.16893,245.8104192,92.27049624,-187.0137276,94.74323132,1
28524.90372,-27549.811,-975.0927141,98.33609012,-186.934657,88.59856687,1
29082.91348,-26888.30329,-2194.610187,104.261943,-186.589942,82.32799901,1
29599.59483,-26188.58583,-3411.008999,110.039634,-185.9800726,75.94043856,1
30074.21354,-25451.65296,-4622.560581,115.6609526,-185.1059152,69.4449626,1
