voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
-2207.60096,-22774.47396,24982.07492,-181.2852486,-137.1065299,318.3917786,1
-1166.829021,-23349.9513,24516.78032,-171.2445982,-147.8823025,319.1269007,1
-124.3989538,-23892.24709,24016.64604,-160.9605998,-158.4479263,319.4085261,1
918.2078911,-24400.59069,23482.3828,-150.4478676,-168.7883868,319.2362545,1
1959.509912,-24874.25971,22914.7498,-139.7213408,-178.8889899,318.6103307,1
2998.027363,-25312.58105,22314.55368,-128.7962623,-188.7353819,317.5316442,1
4032.284452,-25714.93182,21682.64737,-117.6881572,-198.3135705,316.0017278,1
5060.811445,-26080.74027,21019.92883,-106.4128109,-207.6099448,314.0227557,1
6082.146748,-26409.48656,20327.33981,-94.98624609,-216.611294,311.5975401,1
7094.838987,-26700.70353,19605.86454,-83.42470065,-225.3048266,308.7295273,1
8097.449072,-26953.97733,18856.52826,-71.74460415,-233.6781888,305.4227929,1
9088.552239,-27168.94806,18080.39582,-59.96255463,-241.7194815,301.6820361,1
10066.74008,-27345.31022,17278.57015,-48.09529505,-249.4172775,297.5125726,1
11030.62252,-27482.81321,16452.19068,-36.15968942,-256.760638,292.9203274,1
11978.82985,-27581.26161,15602.43176,-24.17269889,-263.7391276,287.9118264,1
12910.01461,-27640.51553,14730.50092,-12.15135764,-270.3428294,282.494187,1
13822.85353,-27660.49077,13837.63723,-0.112748637,-276.5623592,276.6751079,1
14716.04942,-27641.15893,12925.10951,11.92602058,-282.3888789,270.4628583,1
15588.333,-27582.54749,11994.2145,23.94784228,-287.8141084,263.8662662,1
16438.4647,-27484.73975,11046.27505,35.93563278,-292.8303384,256.8947056,1
17265.23645,-27347.87469,10082.63824,47.87235678,-297.4304405,249.5580837,1
18067.47335,-27172.1468,9104.673451,59.74105154,-301.6078776,241.866826,1
18844.03538,-26957.8058,8113.770423,71.52485099,-305.3567134,233.8318624,1
19593.819,-26705.15629,7111.337282,83.20700972,-308.6716206,225.4646109,1
20315.75874,-26414.55728,6098.798543,94.77092674,-311.5478885,216.7769618,1
21008.82867,-26086.42175,5077.593076,106.2001691,-313.9814299,207.7812608,1
21672.04391,-25721.21598,4049.172073,117.4784952,-315.9687865,198.4902913,1
22304.46199,-25319.45896,3014.996974,128.5898779,-317.5071341,188.9172562,1
22905.1842,-24881.7216,1976.537399,139.5185274,-318.5942867,179.0757593,1
23473.3569,-24408.62596,935.2690568,150.2489134,-319.2286994,168.979786,1
24008.17267,-23900.84432,-107.3283541,160.7657875,-319.4094707,158.6436832,1
24508.87151,-23359.09827,-1149.773245,171.0542046,-319.1363436,148.082139,1
24974.74191,-22784.15766,-2190.584246,181.0995443,-318.4097063,137.310162,1
25405.12183,-22176.83953,-3228.282307,190.8875316,-317.2305914,126.3430598,1
25799.39969,-21538.00688,-4261.392802,200.4042573,-315.6006744,115.1964171,1
26157.01518,-20868.56756,-5288.447624,209.6361977,-313.5222717,103.886074,1
26477.46013,-20169.47285,-6307.987273,218.5702335,-310.9983366,92.42810315,1
26760.27915,-19441.71622,-7318.562927,227.193669,-308.0324559,80.83878689,1
27005.07036,-18686.33185,-8318.738503,235.4942499,-304.6288442,69.13459429,1
27211.48588,-17904.39318,-9307.092696,243.4601806,-300.7923382,57.33215765,1
27379.23239,-17097.01139,-10282.221,251.080141,-296.5283899,45.44824888,1
27508.07151,-16265.33381,-11242.73771,258.3433029,-291.8430585,33.49975565,1
27597.82016,-15410.54229,-12187.27787,265.2393447,-286.7430022,21.50365744,1
27648.3508,-14533.85156,-13114.49924,271.758467,-281.2354683,9.477001359,1
27659.59162,-13636.50743,-14023.08419,277.8914056,-275.3282835,-2.563122062,1
27631.52664,-12719.78507,-14911.74157,283.6294453,-269.0298421,-14.59960315,1
27564.19575,-11784.9872,-15779.20855,288.964432,-262.3490946,-26.61533739,1
27457.69463,-10833.44222,-16624.25241,293.8887845,-255.2955347,-38.59324979,1
27312.17463,-9866.502327,-17445.6723,298.3955049,-247.8791858,-50.51631907,1
27127.84253,-8885.541594,-18242.30094,302.478189,-240.1105871,-62.3676019,1
26904.96028,-7891.95402,-19013.00626,306.131035,-232.000778,-74.13025695,1
26643.84462,-6887.151548,-19756.69307,309.3488521,-223.5612832,-85.78756884,1
26344.86659,-5872.562056,-20472.30453,312.1270675,-214.8040956,-97.32297191,1
26008.45106,-4849.627332,-21158.82373,314.4617333,-205.7416595,-108.7200737,1
25635.0761,-3819.801022,-21815.27508,316.3495317,-196.3868534,-119.9626783,1
25225.2723,-2784.546567,-22440.72573,317.7877802,-186.7529707,-131.0348094,1
24779.622,-1745.335118,-23034.28688,318.7744348,-176.8537019,-141.9207329,1
24298.7585,-703.6434521,-23595.11505,319.3080935,-166.7031143,-152.6049792,1
23783.36514,339.0481293,-24122.41327,319.387998,-156.3156324,-163.0723655,1
23234.17432,1381.257905,-24615.43222,319.0140346,-145.7060175,-173.3080171,1
22651.96646,2421.504837,-25073.4713,318.1867348,-134.8893463,-183.2973885,1
22037.56892,3458.310679,-25495.8796,316.9072743,-123.88099,-193.0262842,1
21391.85479,4490.202072,-25882.05686,315.1774712,-112.6965921,-202.4808791,1
20715.74166,5515.712642,-26231.4543,312.9997836,-101.3520461,-211.6477375,1
20010.19033,6533.385082,-26543.57541,310.3773062,-89.86347329,-220.5138329,1
19276.20342,7541.773225,-26817.97665,307.3137657,-78.24719959,-229.0665662,1
18514.82398,8539.444095,-27054.26807,303.8135156,-66.51973233,-237.2937832,1
17727.13395,9524.979949,-27252.1139,299.8815297,-54.6977369,-245.1837929,1
16914.2527,10496.98028,-27411.23299,295.5233959,-42.79801299,-252.7253829,1
16077.33537,11454.06384,-27531.39921,290.7453071,-30.83747076,-259.9078363,1
15217.57127,12394.87054,-27612.4418,285.5540533,-18.83310679,-266.7209465,1
14336.18216,13318.06345,-27654.24561,279.9570116,-6.801979953,-273.1550316,1
13434.42056,14222.33066,-27656.75122,273.9621356,5.238812872,-279.2009485,1
12513.56791,15106.38717,-27619.95507,267.5779445,17.27216106,-284.8501056,1
11574.93279,15968.97667,-27543.90946,260.8135105,29.28096456,-290.094475,1
10619.84906,16808.87338,-27428.72244,253.6784462,41.2481582,-294.9266044,1
9649.673949,17624.88376,-27274.55771,246.1828909,53.15673596,-299.3396269,1
8665.786119,18415.84822,-27081.63434,238.3374963,64.98977508,-303.3272714,1
7669.583733,19180.64275,-26850.22649,230.1534111,76.73046018,-306.8838713,1
6662.482449,19918.18054,-26580.66299,221.6422652,88.3621071,-310.0043723,1
5645.913412,20627.4135,-26273.32692,212.8161536,99.86818663,-312.6843403,1
4621.321224,21307.33378,-25928.65501,203.6876186,111.232348,-314.9199666,1
3590.161886,21956.97518,-25547.13706,194.2696323,122.4384421,-316.7080745,1
2553.90073,22575.41451,-25129.31524,184.5755783,133.4705445,-318.0461228,1
1514.010343,23161.77294,-24675.78328,174.6192323,144.3129779,-318.9322102,1
471.9684633,23715.21722,-24187.18568,164.4147427,154.9503348,-319.3650775,1
-570.744109,24234.96088,-23664.21677,153.9766109,165.3674987,-319.3441095,1
-1612.645623,24720.26534,-23107.61972,143.3196698,175.5496663,-318.8693361,1
-2652.255479,25170.44095,-22518.18547,132.4590636,185.4823682,-317.9414319,1
-3688.096335,25584.84798,-21896.75165,121.4102259,195.1514896,-316.5617155,1
-4718.696204,25962.89754,-21244.20134,110.1888576,204.54329,-314.7321476,1
-5742.590548,26304.05241,-20561.46186,98.81090491,213.6444232,-312.4553281,1
-6758.324356,26607.82778,-19849.50342,87.2925365,222.441956,-309.7344925,1
-7764.454215,26873.79197,-19109.33775,75.65012063,230.9233866,-306.5735072,1
-8759.550361,27101.56703,-18342.01667,63.90020179,239.0766625,-302.9768642,1
-9742.198706,27290.82928,-17548.63057,52.05947727,246.8901973,-298.9496745,1
-10711.00285,27441.30977,-16730.30691,40.14477338,254.3528876,-294.497661,1
-11664.58608,27552.79465,-15888.20857,28.17302158,261.4541286,-289.6271501,1
-12601.59329,27625.12551,-15023.53222,16.16123437,268.1838289,-284.3450633,1
-13520.69295,27658.19955,-14137.50661,4.12648116,274.5324253,-278.6589065,1
-14420.57896,27651.96978,-13231.39082,-7.914136004,280.4908962,-272.5767602,1
-15299.97254,27606.44505,-12306.4725,-19.94350675,286.0507741,-266.1072674,1
-16157.62403,27521.69004,-11364.06602,-31.94453668,291.2041582,-259.2596216,1
-16992.31464,27397.82521,-10405.51057,-43.90017167,295.9437253,-252.0435537,1
-17802.85825,27235.02657,-9432.168323,-55.79342212,300.2627402,-244.4693181,1
-18588.10302,27033.52547,-8445.422449,-67.60738706,304.1550653,-236.5476782,1
-19346.93308,26793.60825,-7446.675168,-79.32527821,307.6151694,-228.2898911,1
-20078.27009,26515.61584,-6437.345754,-90.9304438,310.6381355,-219.7076917,1
-20781.07477,26199.94329,-5418.868519,-102.4063922,313.2196678,-210.8132755,1
-21454.34842,25847.03919,-4392.690776,-113.7368156,315.3560978,-201.6192822,1
-22097.13426,25457.40504,-3360.270779,-124.9056127,317.0443895,-192.1387768,1
-22708.51886,25031.59451,-2323.075653,-135.8969121,318.2821439,-182.3852317,1
-23287.63342,24570.21273,-1282.579309,-146.6950946,319.0676018,-172.3725072,1
-23833.65497,24073.91532,-240.2603502,-157.2848153,319.3996473,-162.114832,1
-24345.8076,23543.40757,802.4000319,-167.6510257,319.2778084,-151.6267827,1
-24823.3635,22979.44334,1843.92016,-177.7789948,318.7022582,-140.9232634,1
-25265.64405,22382.82407,2882.819976,-187.6543302,317.6738147,-130.0194845,1
-25672.02073,21754.39758,3917.623147,-197.2629986,316.1939394,-118.9309408,1
-26041.91606,21095.0569,4946.859162,-206.5913454,314.2647351,-107.6733897,1
-26374.80441,20405.73899,5969.065419,-215.6261146,311.8889435,-96.26282884,1
-26670.21272,19687.42341,6982.789307,-224.3544673,309.0699406,-84.71547322,1
-26927.72119,18941.13092,7986.59027,-232.7640001,305.8117324,-73.04773228,1
-27146.9639,18167.92205,8979.04185,-240.8427625,302.118949,-61.27618651,1
-27327.62929,17368.89557,9958.733722,-248.5792741,297.996838,-49.41756393,1
-27469.46062,16545.18694,10924.27369,-255.9625409,293.4512572,-37.48871629,1
-27572.25635,15697.96669,11874.28966,-262.982071,288.4886662,-25.50659512,1
-27635.87039,14828.43877,12807.43162,-269.6278892,283.1161169,-13.4882277,1
-27660.21235,13937.83883,13722.37352,-275.8905514,277.3412442,-1.450692757,1
